name,description,location_name,latitude,longitude,address,start_time,end_time,city,primary_category,secondary_categories,thumbnail_image,additional_images,external_link,is_paid
"Nonstop: Aaron J, Clarisa Kimskii, DVS1, Juana b2b Elle Dee, Sleep D (live)","With summer heat in full effect, Nonstop brings together seven masters of hypnotic techno for an extended marathon of hazy dancefloor delirium. Aaron J guides us through the threshold, with whispering arboreal textures forming a psychedelic canopy above the steadily pulsing world-rhythm. Taking control at peak time is Australian duo Sleep D, whose trippy, progressive floor-fillers have become a staple of the festival circuit. The late night hours are ruled by two east coast techno staples, Juana and Elle Dee, locking down the floor with their shared love of deep mesmerizing grooves. NYC’s own Clarisa Kimskii carries into the early morning, triggering second winds with the precision of a skilled techno hypnotist. Finally, Midwest legend DVS1 keeps it locked with a marathon 6-hour set of pulsing percussion and expertly smoothed-out deep sea basslines. /// RSVP is $10 before 11pm and $15 before midnight. An RSVP is good for one person. If you're bringing friends, please have them RSVP here as well. We stop taking RSVPs at 6pm on the day of the party. In order to receive the RSVP discount, you must be at the ticket desk by the cutoff time and not just in line. It's wise to arrive early to make sure you're not standing in line when the time comes. An RSVP does not guarantee entry. Sometimes parties do sell out, so if you want to be sure you'll get in, it's best to grab a ticket in advance. /// Entry is at the discretion of our door staff. Online purchases are limited to four tickets maximum per person. If tickets are sold out here, we always hold a good amount at the door. We will do our best to admit those without tickets but entrance is not guaranteed. Nonstop tickets are divided by entry time. You must arrive during the hours listed on your ticket. For example, if you buy a ""10PM–4AM"" ticket, you must get here between 10pm and 4am. After you've arrived during your designated time window, you can stay as long as you'd like, so long as you abide by our safer space policy (more on that below). You're also welcome to come and go as you please. Re-entry is based on capacity and is not guaranteed. Nonstop attendees can attend Mister Sunday in the backyard starting at 3 pm without buying a separate ticket, and Nonstop re-entry is honored during Mister Sunday. Violence, non-consensual touching, racist, homophobic, transphobic, sexist, ageist or other discriminatory language, and leering are not allowed within our walls or in our back yard. If someone says or does something to make you feel uncomfortable while you’re here, let us know. /// Accessibility: The wheelchair entrance to our indoor space is in the driveway, which is the access point most commonly used to enter Nowadays. During parties the driveway gate is locked, so please ask staff at the street entrance for assistance with entry. All of our bathrooms are gender-neutral. There is one accessible stall indoors. Just ask any Nowadays staff member for the key, and they can show you the way. During parties, seating is available both on and off the dance floor. While we don’t have a dedicated quiet space indoors during parties, the booths next to coat check are a little quieter, and the deck and back yard a little quieter than that. Most nighttime parties include the use of strobe lights and water based haze.",Nowadays,40.692462,-73.901536,"56-06 Cooper Ave. Ridgewood, NY 11385 USA",2026-07-25T22:00:00.000,2026-07-26T15:00:00.000,new york city,Music,"Aaron J,Sleep D,Juana,Elle Dee,Clarisa Kimskii,DVS1",https://images.ra.co/acb3e45303323d9f73d10a015ea1721a6c7a4342.jpg,https://images.ra.co/848fc90bfa0729a858afafa07603d60ab4b62d58.jpg,https://ra.co/events/2448598,true
UFO95 live / Altinbas / cotton / Shaun J. Wright / Colored Craig / Nat Wendell,"UFO95 returns to the room for a live set. The French artist described his recent “Dissolution” EP, released on his own TSSRCT label as inhabiting “a territory where noise meets precision.” We couldn’t have said it better ourselves. Across its four tracks, UFO95 displays his mastery as a sonic sculptor. All his work is constructed with a rigor and clarity of purpose that is matched only by his flair for raw, emotionally-charged gestures. His live sets have appeared at nearly every techno venue of consequence, and in addition to his self-released material, his work has found a home on such legendary imprints as Tresor, Mord and WSNWG. Altinbas makes his debut. The Belgian artist is a resident at the Brussels hub Fuse, where he has honed his elegant, spacious sound. Across a string of releases on Ostgut Ton, Token and Non Series, Altinbas crafts pure, linear techno that hits with supple power. Cotton returns to freak the system. Of the generation of DJs who seized control over the last half decade, Cotton has emerged as one of the most interesting and unique. A true powerhouse, Cotton can balance bracing impact with the exploratory and uncanny in surprising ways. Shaun J. Wright drops in to deliver an unimpeachable masterclass. Wright embodies house music’s soaring, bombastic and galvanizing spirit. At its core, house is a music that demands liberation through movement, and Wright is a direct inheritor to that lineage. Raised in Chicago, Wright’s music and DJ hit with an urgency that is paradoxically timeless - the urgency of the human soul’s vital need for unrestrained expression. Colored Craig is a fellow traveler and a kindred spirit to Wright. Having recently moved from LA to NYC, Craig has upped the ante of soulful, sensuous house music for the rest of us. A choreographer as well as a DJ, Craig grasps the essence of movement and corporeal sensation in a way few can. In his hands, tracks come alive, blooming with a freshness that feels revelatory. Nat Wendell seals the deal. Returning to the room from his home in Berlin, the London-born artist tweaks the formula with a perfect, tough-and-tender flair. His hometown is known for its particularly affecting sense of defiance, a posture that winds through everything from punk, acid house, drum n bass and grime. Wendell captures this ineffable spirit in his own way, You’ll know it when you hear it. ■ No photos or videos ■ Ticket purchase does not guarantee entrance ■ No phone use on the dancefloor ■ The dance floor is for dancing, not conversation ■ No glowing/flashing clothes or items ■ Respect other people's space, no shuffling ■ Consent is mandatory ■ Zero tolerance for racism, homophobia, transphobia, sexism, ableism or any form of discrimination ■ Take care of each other, alert our staff if somebody isn't feeling well ■ Violating the house rules will result in removal PLEASE REVIEW HOUSE POLICIES AT LINK BELOW",BASEMENT,40.715679,-73.914379,"52-19 Flushing Ave., Maspeth, NY 11378 USA",2026-07-25T22:30:00.000,2026-07-26T07:00:00.000,new york city,Music,"UFO95,Altinbas,cotton,Shaun J. Wright,Colored Craig,Nat Wendell",https://images.ra.co/035805f17349a01a8075f1f8897f75f22a542876.jpg,,https://ra.co/events/2468644,true
Boy Harsher presents: Nude Club,"Nude Club is a series of parties curated by Boy Harsher. They will have a mix of DJ sets and live performances and be playing new music for the first time during their DJ set. Paragon is 21+. Arrive early to avoid lines. Ground floor is ADA compliant. Dress 2 impress. Be nice to each other. No Racism No Sexism No Homophobia No Violence Please notify security if you witness any harassment. Dress 2 Impress. Find the feeling, don’t let go.",Paragon,40.696107,-73.934068,"990 Broadway Brooklyn, NY",2026-07-25T21:30:00.000,2026-07-26T03:00:00.000,new york city,Music,"Boy Harsher,Dazegxd,Kassie Krut,Ivan Berko,Bapari,Lucy",https://images.ra.co/294ca82f8fbba3651b3899d387bc4d683e491012.jpg,,https://ra.co/events/2473567,true
718 Sessions Boat Party Part TWO-2026,"SATURDAY, JULY 25TH.. Back by Popular demand! 718 Sessions Boat Party 2026-PART2! Missed our June Boat Party? Well... This is a DON'T MISS! Music by... DANNY KRIVIT! On the WORLD FAMOUS CIRCLE LINE! Pier 83-West 42nd Street & Westside Highway Boarding 7:00pm Cruise begins at 8:00pm SHARP Boat Returns 12 midnight Advance tickets are $65 Tickets on Resident Advisor 6/10/2026-8:00pm (EST) 2 tickets per person limit. Tickets at Gate-$75 Remember to bring: Comfortable dancing shoes or sneakers. Loose, cool clothing...and most important..A GOOD ATTITUDE & CAREFREE VIBE! Give yourselves plenty of time to get to Pier 83 on Saturday, July 25th! Don't miss the boat! NO BEVERAGES OF ANY KIND ALLOWED! NO CHILDREN!",Circle Line Cruises,40.758889,-73.995,"West 42nd Street; New York, NY 10011; United States",2026-07-25T19:00:00.000,2026-07-26T00:00:00.000,new york city,Music,Danny Krivit,https://images.ra.co/1476dcd510abc23607475741f600c12cc788e696.jpg,https://images.ra.co/4af315fb99954efed2de9daa38cc244cfe55b0ad.jpg,https://ra.co/events/2462652,true
PLAY ME TECHNO x EUWHORIA,"PLAY ME TECHNO x EUWHORIA A family affair in full life fruition.... For PMT XI, we're dueting with our dears at EUWHORIA, providing you with the ultimate underground playground. As always, we gather here to release in catharsis through risk, experimentation, and liberation of the QUEER body. Through immersion of sound, performance, and utopia as we know it, this collaboration will offers experiencers a double header marathon to portal you into August. As our lineage suggests, PMT operates as an incubator for performance and emerging sound selectors. Our rave garners a sonically charged experience. Through techno, experimentation, and liberation of the body, we invite you onto our dance floor to experience yourself. FEATURING PERFORMANCES BY CORTISA STAR VERBAL ANIMAL VON SPECIAL GUEST LIGHTING Gum Gum Studios Jaye.mp4 SOUND UVA Testing SAFETY Tas Safety",TBA - Brooklyn,,,,2026-07-25T23:00:00.000,2026-07-26T10:00:00.000,new york city,Music,"SKIN CONTACT,Via App,KYRUH,Cyb3r Bull,Xana 101,Amarji King,OCTI,LUN★",https://images.ra.co/e6e90b4e2e54b908c653e938ea856eb4e5847ef4.png,,https://ra.co/events/2484666,true
"Akua, 1morning, Shyboi","Akua has rapidly become one of the most compelling voices in contemporary techno through her fierce, emotionally charged approach to DJing and production. Rooted in Detroit lineage while pushing firmly into the future, her sets move through hypnotic pressure, raw groove, and high-velocity rhythm with total command, balancing precision and intensity at every turn. Joining her is all-vinyl DJ and producer 1morning who is making waves both in North America and internationally. 1morning explores deeper shades of late-night club music through atmospheric textures, driving percussion, and fluid transitions that steadily pull the room inward. SHYBOI channels hard-edged club energy through an explosive blend of techno, breaks, trance, dancehall, and global rave mutations. The Jamaica-born, NYC-based artist has become known for intensely physical sets that move unpredictably while remaining deeply locked to the floor, bringing raw momentum and fearless experimentation into every room she touches. RSVP discount ticket is paid at the door. RSVPs are one per person, so anyone coming with you will need to submit their own. We cut off RSVPs at 11pm, and you'll need to be checked in at the door by that time to receive the discounted rate. Plan to arrive early rather than risk being in line when the clock hits 11. Keep in mind that an RSVP does not guarantee entry, as the venue can fill up. Buying a full price ticket ahead of time is the surest way to guarantee your spot. //////////////////////////////////////////////////////////////////////////////////////////////////////////// To maintain a safe and enjoyable environment for all, we ask that you respect our house code of conduct: no phones on the dance floor and zero tolerance for harassment, discrimination, or hate.",Signal,40.71005,-73.933575,"175 Morgan Ave, Brooklyn, NY 11237",2026-07-25T22:00:00.000,2026-07-26T05:00:00.000,new york city,Music,"Akua,1morning,Shyboi",https://images.ra.co/8d7eb12a438e623e9a5f3d15998c146f98ca0195.jpg,,https://ra.co/events/2444393,true
"Lee Foss: Repopulate Mars 10 Years w Deeper Purpose, Wheats & More","Gray Area welcomes Lee Foss back to New York for a special celebration marking 10 years of Repopulate Mars at 99 Scott. Born and raised in Chicago, Foss emerged from the city that gave birth to house music before becoming one of the genre's most influential label founders and tastemakers. After meeting Jamie Jones in Ibiza during the early 2000s, the pair would go on to launch Hot Natured and Hot Creations, helping define a generation of house music throughout the following decade. In 2016, Foss launched Repopulate Mars. What began as a label soon evolved into a larger creative platform, introducing audiences to artists such as John Summit, Mau P, Michael Bibi, Joshwa, and many others. Alongside its musical output, Repopulate Mars became recognizable for its futuristic visual language inspired by life on another planet, combining chrome aesthetics, science fiction imagery, and immersive event production. Joining Foss for the anniversary celebration is Deeper Purpose, whose connection to the label makes his appearance particularly fitting. The London producer has released multiple records through the Repopulate Mars ecosystem while building an international following through releases on Catch & Release, Toolroom, Experts Only, and Insomniac. His performances have taken him to venues and festivals including Hi Ibiza, Club Space, EDC Las Vegas, Day Trip, and Pacha New York. Also appearing is Wheats, one of the UK's most talked about emerging producers. Through releases on BOX RED, Hot Creations, and Solid Grooves, he has earned support from artists including Jamie Jones, Michael Bibi, and Marco Carola. Philadelphia's Oscar N joins the lineup after chart success on Beatport and performances at Amsterdam Dance Event and Elements Music Festival. Opening duties will be handled by local favorites Nadia and TheConnect. Taking over the industrial setting of 99 Scott, this event brings together artists connected to the past, present, and future of Repopulate Mars for a rare celebration of one of house music's most influential labels.",99 Scott Ave,40.710505,-73.923656,"99 Scott Ave, Brooklyn, NY 11237",2026-07-25T22:00:00.000,2026-07-26T04:00:00.000,new york city,Music,"Lee Foss,Deeper Purpose,Wheats,Oscar N (US),TheConnect",https://images.ra.co/b4db1acd4a92b42ec7692631fc396211d36a274e.jpg,,https://ra.co/events/2392685,true
"Juan Maclean (all night), Carpet (F.L.H.P.) (all night)",,Good Room,40.726945,-73.952885,"98 Meserole Ave, Brooklyn, NY 11222 USA",2026-07-25T22:00:00.000,2026-07-26T05:00:00.000,new york city,Music,"Juan Maclean,Carpet (F.L.H.P),Kate Stein",https://images.ra.co/0db18766f266aafe59d0ae4fe984fee04f8a2d5c.jpg,,https://ra.co/events/2457528,true
"Golden Record NYC x TAMED present Jasper James, David Berrie, Miguel Gallardo & KANZE & More",No-phone dancefloor. No photos. No videos.,Green Room NYC,,,"195 Morgan Ave, Brooklyn, NY 11237",2026-07-25T22:00:00.000,2026-07-26T08:00:00.000,new york city,Music,"Jasper James,David Berrie,Miguel Gallardo,KANZE,Kiyoshi,Omer Mil,Raw Phonics,Jeny Michelle",https://images.ra.co/3f926b0286524d7196c7be4e39cf0ab32fc1e832.jpg,,https://ra.co/events/2485827,true
Laylit,"In order for you to join us, we require a physical, valid, scannable US Government issued ID or foreign passport for admission (expired IDs will NOT be accepted)! If you are traveling, please be prepared to show a physical passport for entry (Photocopies and Photographs of IDs are NOT accepted). We recommend that all customers read Elsewhere's ID Policy in the FAQ section on our website before arriving at the venue. ________________________________________________ Laylit is a platform and collective celebrating music and artists from the Arab/SWANA region and its diaspora. Over the last seven years their dance parties have carved out an unmatched place in North American and European nightlife, becoming an anticipated social gathering and unique musical experience. With recent features in the New York Times and Pitchfork, the party is now active in more than 10 cities. Each party takes you on a genre-spanning journey, highlighting the incredible musical diversity, depth and richness that comes out of the region. Laylit has established its place on the scene with a signature electronic sound blending shaabi, dabke, mahraganat, Arabic pop and hip-hop with contemporary, boundary pushing dance music (techno, breakbeat, hyperpop…) inspired by New York and Montreal’s thriving underground clubs. Laylit values inclusivity and unity across cultures, languages, dialects, religions, identity and sexual orientations. ________________________________________________ Elsewhere is a community that values inclusivity, joy, and creativity. In order to make this space accessible for everyone, we operate a strict zero-tolerance policy for harassment, discrimination, or hate of any kind. Please keep in mind that ticket sales are final, with the exception of a cancellation. The following items are subject to change without notice at all times; opening performers, set times, location of event within Elsewhere. Safety Monitor Team: Elsewhere will be using our new in-house Safety Monitor team made up of individuals with long experience both working in and enjoying night life in New York City. If you are feeling distressed or uncomfortable, please seek out a member of our Safety Monitor team, who will be wearing reflective green sashes and blinking wristbands, and they can assist you. We encourage a present and engaged dance floor... You can head to the courtyard to chat, take pictures and use your phone. Let’s avoid doing so on the dance floor! For further information about our ticketing policies and FAQs, please visit elsewhere.club",Elsewhere,40.70967,-73.923279,"599 Johnson Ave, Brooklyn, NY 11237 USA",2026-07-25T21:00:00.000,2026-07-26T04:00:00.000,new york city,Music,"Myyuh,Arianna Danae,Nadim Maghzal,Fatin,444 (1),SRI (1),La La",https://images.ra.co/14a995e636bae4933b36752078a0079ea58d5349.jpg,,https://ra.co/events/2447453,true
