name,description,location_name,latitude,longitude,address,start_time,end_time,city,primary_category,secondary_categories,thumbnail_image,additional_images,external_link,is_paid
Muse @ Northwell at Jones Beach Theater,Muse at Northwell at Jones Beach Theater at 2026-07-25T20:00:00-0400,Northwell at Jones Beach Theater,40.60114,-73.50252,"1000 Ocean Pkwy., Wantagh",2026-07-25T20:00:00,,wantagh,Music,Muse,https://images.sk-static.com/images/media/profile_images/artists/219230/huge_avatar,,https://www.songkick.com/concerts/43136446-muse-at-northwell-at-jones-beach-theater?utm_medium=organic&utm_source=microformat,true
David Guetta @ 305 W 46th St,David Guetta at 305 W 46th St at 2026-07-25T20:00:00-0400,305 W 46th St,,,New York (NYC),2026-07-25T20:00:00,,new york (nyc),Music,"David Guetta,Gareth Emery",https://images.sk-static.com/images/media/profile_images/artists/149066/huge_avatar,,https://www.songkick.com/concerts/43285259-david-guetta-at-305-w-46th-st?utm_medium=organic&utm_source=microformat,true
Passion Pit @ The Rooftop at Pier 17,Passion Pit at The Rooftop at Pier 17 at 2026-07-25T18:30:00-0400,The Rooftop at Pier 17,40.70531,-74.00263,"89 South Street, New York (NYC)",2026-07-25T18:30:00,,new york (nyc),Music,"Passion Pit,Arden Jones",https://images.sk-static.com/images/media/profile_images/artists/1013305/huge_avatar,,https://www.songkick.com/concerts/43108438-passion-pit-at-rooftop-at-pier-17?utm_medium=organic&utm_source=microformat,true
Bloc Party @ Northwell at Jones Beach Theater,Bloc Party and The Temper Trap at Northwell at Jones Beach Theater at 2026-07-25T19:00:00-0400,Northwell at Jones Beach Theater,40.60114,-73.50252,"1000 Ocean Pkwy., Wantagh",2026-07-25T19:00:00,,wantagh,Music,"Bloc Party,The Temper Trap",https://images.sk-static.com/images/media/profile_images/artists/443396/huge_avatar,,https://www.songkick.com/concerts/43129540-bloc-party-at-northwell-at-jones-beach-theater?utm_medium=organic&utm_source=microformat,true
Cardi B @ Pacha New York,Cardi B at Pacha New York at 2026-07-25T22:00:00-0400,Pacha New York,40.7109,-73.92575,"140 Stewart Avenue, New York (NYC)",2026-07-25T22:00:00,,new york (nyc),Music,Cardi B,https://images.sk-static.com/images/media/profile_images/artists/8962314/huge_avatar,,https://www.songkick.com/concerts/43322196-cardi-b-at-pacha-new-york?utm_medium=organic&utm_source=microformat,true
Lucy Dacus @ Stone Pony Summer Stage,"Lucy Dacus, Smidley, and Ratboys at Stone Pony Summer Stage at 2026-07-25T17:30:00-0400",Stone Pony Summer Stage,40.21998,-74.00072,"913 Ocean Ave, Asbury Park",2026-07-25T17:30:00,,asbury park,Music,"Lucy Dacus,Smidley,Ratboys",https://images.sk-static.com/images/media/profile_images/artists/8280653/huge_avatar,,https://www.songkick.com/concerts/43096144-lucy-dacus-at-stone-pony-summer-stage?utm_medium=organic&utm_source=microformat,true
Tori Amos @ Beacon Theatre,Tori Amos and Bartees Strange at Beacon Theatre at 2026-07-25T20:00:00-0400,Beacon Theatre,40.77604,-73.98204,"2124 Broadway, New York (NYC)",2026-07-25T20:00:00,,new york (nyc),Music,"Tori Amos,Bartees Strange",https://images.sk-static.com/images/media/profile_images/artists/453601/huge_avatar,,https://www.songkick.com/concerts/43001530-tori-amos-at-beacon-theatre?utm_medium=organic&utm_source=microformat,true
"Jonas Blue @ Marquee Skydeck, Edge at Hudson Yards","Jonas Blue at Marquee Skydeck, Edge at Hudson Yards at 2026-07-25T23:00:00-0400","Marquee Skydeck, Edge at Hudson Yards",40.75346,-74.00082,"30 Hudson Yards, New York (NYC)",2026-07-25T23:00:00,,new york (nyc),Music,Jonas Blue,https://images.sk-static.com/images/media/profile_images/artists/8784094/huge_avatar,,https://www.songkick.com/concerts/43219889-jonas-blue-at-marquee-skydeck-edge-at-hudson-yards?utm_medium=organic&utm_source=microformat,true
Phish @ Madison Square Garden,Phish at Madison Square Garden at 2026-07-25T19:30:00-0400,Madison Square Garden,40.74971,-73.99156,"7th Ave & 32nd St, New York (NYC)",2026-07-25T19:30:00,,new york (nyc),Music,Phish,https://images.sk-static.com/images/media/profile_images/artists/46745/huge_avatar,,https://www.songkick.com/concerts/43057919-phish-at-madison-square-garden?utm_medium=organic&utm_source=microformat,true
Keith Sweat @ Barclays Center,"Keith Sweat, Dru Hill, and Kut Klose at Barclays Center at 2026-07-25T20:00:00-0400",Barclays Center,40.68266,-73.97528,"620 Atlantic Avenue, Brooklyn",2026-07-25T20:00:00,,brooklyn,Music,"Keith Sweat,Dru Hill,Kut Klose",https://images.sk-static.com/images/media/profile_images/artists/559980/huge_avatar,,https://www.songkick.com/concerts/43020020-keith-sweat-at-barclays-center?utm_medium=organic&utm_source=microformat,true
