name,description,location_name,latitude,longitude,address,start_time,end_time,city,primary_category,secondary_categories,thumbnail_image,additional_images,external_link,is_paid
Faber Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.",Faber Pool (in Faber Pool and Park),40.64119067464800000,-74.13548295673100000,Faber Pool and Park,2026-07-27T07:00:00,2026-07-27T08:30:00,new york,Fitness,Swimming/Aquatics,,,https://www.nycgovparks.org/events/2026/07/27/faber-pool-lap-swim1,
Liberty Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.",Main Pool (in Detective Keith L Williams Park),40.70180531305800000,-73.78410351276400000,Detective Keith L Williams Park,2026-07-27T07:00:00,2026-07-27T08:30:00,new york,Fitness,Swimming/Aquatics,,,https://www.nycgovparks.org/events/2026/07/27/liberty-pool-lap-swim1,
Hamilton Fish Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.",Main Pool (in Hamilton Fish Park),40.71995200000000000,-73.98149100000000000,Hamilton Fish Park,2026-07-27T07:00:00,2026-07-27T08:30:00,new york,Fitness,Swimming/Aquatics,,,https://www.nycgovparks.org/events/2026/07/27/hamilton-fish-pool-lap-swim1,
Lyons Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.",Lyons Pool,40.63719940185500000,-74.07430267334000000,Lyons Pool,2026-07-27T07:00:00,2026-07-27T08:30:00,new york,Fitness,Swimming/Aquatics,,,https://www.nycgovparks.org/events/2026/07/27/lyons-pool-lap-swim1,
Astoria Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.",Astoria Pool (in Astoria Park),40.77879389639600000,-73.92268174998500000,Astoria Park,2026-07-27T07:00:00,2026-07-27T08:30:00,new york,Fitness,Swimming/Aquatics,,,https://www.nycgovparks.org/events/2026/07/27/astoria-pool-lap-swim1,
Van Cortlandt Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.",Van Cortlandt Park Pool (in Van Cortlandt Park),40.88988373490900000,-73.89608025550800000,Van Cortlandt Park,2026-07-27T07:00:00,2026-07-27T08:30:00,new york,Fitness,Swimming/Aquatics,,,https://www.nycgovparks.org/events/2026/07/27/van-cortlandt-pool-lap-swim1,
Claremont Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.",Main Pool (in Claremont Park),40.83721000000000000,-73.90798300000000000,Claremont Park,2026-07-27T07:00:00,2026-07-27T08:30:00,new york,Fitness,Swimming/Aquatics,,,https://www.nycgovparks.org/events/2026/07/27/claremont-pool-lap-swim,
McCarren Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.",McCarren Park Pool (in McCarren Park),40.72015570000000000,-73.95174040000000000,McCarren Park,2026-07-27T07:00:00,2026-07-27T08:30:00,new york,Fitness,Swimming/Aquatics,,,https://www.nycgovparks.org/events/2026/07/27/mccarren-pool-lap-swim1,
Kosciuszko Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.",Kosciuszko Pool,40.69120025634800000,-73.94950103759800000,Kosciuszko Pool,2026-07-27T07:00:00,2026-07-27T08:30:00,new york,Fitness,Swimming/Aquatics,,,https://www.nycgovparks.org/events/2026/07/27/kosciuszko-pool-lap-swim1,
Gottesman Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.",Gottesman Pool at the Davis Center (in Central Park),40.79651656859400000,-73.95425450801900000,Central Park,2026-07-27T07:00:00,2026-07-27T08:30:00,new york,Fitness,Swimming/Aquatics,,,https://www.nycgovparks.org/events/2026/07/27/gottesman-pool-lap-swim1,
Red Hook Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https://www.nycgovparks.org/events/lap-swim to register.",Main Pool (in Red Hook Recreation Area),40.67239600000000000,-74.00408700000000000,Red Hook Recreation Area,2026-07-27T07:00:00,2026-07-27T08:30:00,new york,Fitness,Swimming/Aquatics,,,https://www.nycgovparks.org/events/2026/07/27/red-hook-pool-lap-swim,
Line Dance Fitness,Line up and get ready to move in this line dance fitness class! You’ll have a blast with these low-moderate impact dance moves choreographed to your favorite songs.,Handball Court (in Betsy Head Park),40.66203011782100000,-73.91401224247200000,Betsy Head Park,2026-07-27T08:00:00,2026-07-27T10:00:00,new york,Dance,"Fitness,Shape Up NYC,Dance Classes,Exercise Classes",,,https://www.nycgovparks.org/events/2026/07/27/line-dance-fitness,
40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,"From 1987 to 2019, celebrated NYC photographer Jack Vartoogian captured hundreds of SummerStage performances across Manhattan parks, from Central Park to Marcus Garvey Park and Tompkins Square Park. This selection of intimate, rarely seen imagery gives viewers a look back at past decades of outdoor live music in New York City, a peek behind the curtain with never-before-seen backstage photos and honors those artists who have passed on. From the earliest performances with Sun Ra Arkestra and Mavis and Pop Staples, to legendary artists in memoriam like Tito Puente and Hugh Masekela and backstage shots of Buddy Guy and Darlene Love, this exhibition celebrates not only a photographer’s commitment to documenting performance but also celebrates a 40-year legacy of SummerStage.This free exhibition is presented by City Parks Foundation in collaboration with NYC Parks Art & Antiquities department.An opening reception will be held on June 16 from 6pm-8 pm, offering light refreshments, music and an exclusive exhibition poster while supplies last. Image credit: Sun Ra Arkestra at SummerStage, 1989, Jack Vartoogian",Arsenal (in Central Park),40.76720046997100000,-73.97129821777300000,Central Park,2026-07-27T09:00:00,2026-07-27T17:00:00,new york,Art,History,http://www.nycgovparks.org/common_images/events/698252cdadc61.jpg,,https://www.nycgovparks.org/events/2026/07/27/40-in-focus-summerstage-through-the-lens-of-photographer-jack-vartoogian,false
Cardio Sculpt,This cardio workout consists of functional movement exercises designed to make daily activities easier to perform. Meets at the athletic courts.,Athletic Courts (in Torsney Playground),40.74733661799600000,-73.92111921438200000,Torsney Playground,2026-07-27T09:00:00,2026-07-27T10:00:00,new york,Fitness,"Shape Up NYC,Outdoor Fitness,Exercise Classes",,,https://www.nycgovparks.org/events/2026/07/27/cardio-sculpt,
It's My Park at Highbridge Park,"This It's My Park season, volunteer with Connectemonos for tilling, composting, & general cleanup at Highbridge Park. We look forward to cleaning up the park with you!",Basketball courts at 175th and Amsterdam (in Highbridge Park),40.84455631671100000,-73.93316042423200000,Highbridge Park,2026-07-27T09:00:00,2026-07-27T13:00:00,new york,Volunteer,It's My Park,,,https://www.nycgovparks.org/events/2026/07/27/its-my-park-at-highbridge-park,
Zumba Gold&#174;,"Zumba Gold® offers a low-impact workout set to a fusion of Latin, International and popular music dance themes, creating a dynamic, exciting, effective fitness system! The routines feature aerobic fitness interval training with a combination of fast and slow rhythms that challenge both the heart and muscles. With fun music and easy-to-follow steps, you can’t go wrong! Please register for updates about cancellations. Class is first come, first served, but for safety reasons, participants will not be allowed to join after the first fifteen minutes of class. New Settlement Community Center requires all first-time participants to create a profile with the site upon arrival so please arrive at least 15 minutes in advance.",New Settlement Community Center,40.84238815307617000,-73.91618347167969000,,2026-07-27T09:15:00,2026-07-27T10:15:00,new york,Dance,"Fitness,Shape Up NYC,Dance Classes,Exercise Classes",,,https://www.nycgovparks.org/events/2026/07/27/zumba-gold1,
Le Carrousel Extravaganza in Bryant Park,"Le Carrousel Extravaganza is a lively, all-in-one entertainment experience featuring magic, puppetry, science, music, and storytelling. Designed to engage children of all ages, this dynamic program sparks imagination, encourages curiosity, and delivers fun-filled, interactive performances for every audience.LINEUP:All shows 10a-11aMusicAndy & SuzannaMonday, July 13FunkyTown PlaygroundMondays: July 20, July 27, August 3, August 24 Wednesdays: September 16, September 23Mr. SimonMonday, August 10MagicChris CapeheartFridays: June 26, August 21Lee BarrettMonday, June 5Fridays: July 10, August 14Loonie LouieFridays: July 3, August 7Monday, September 21Mike PatrickFridays: June 19, July 24, August 28Silly BillyFridays: June 12, July 17Monday, September 7Zach AlexanderFridays: July 31, August 28Monday, September 14ScienceCrazy ScienceMondays: June 8, June 15, June 22, June 29Wednesdays: September 2, September 9Puppet ShowsLucky Duck PuppetsMonday, August 31Repertorio Español/Scaramouches Puppet TheatreWednesday, July 29, August 5, August 12, August 19, August 26Teatro SEAWednesday, July 1, July 8, July 15, July 22Wonderspark PuppetsWednesdays: June 10, June 17, June 24StorytimeStoryFacesMonday, August 17BubblesBubble Parties with SophieMonday, July 6 Photo credit: Jazmin Nahas",Le Carrousel (in Bryant Park),40.75329971313500000,-73.98400115966800000,Bryant Park,2026-07-27T10:00:00,2026-07-27T11:00:00,new york,Best for Kids,,http://www.nycgovparks.org/common_images/events/69f3af6dd230e.jpg,,https://www.nycgovparks.org/events/2026/07/27/le-carrousel-extravaganza,
Session 2: Parent & Tots Learn to Swim Liberty Pool (Class A),"The Learn to Swim program puts the fun in fundamentals and teaches basic swimming and safety skills. The program offers tots, from 1 1/2 to 5 years old, the opportunity to become comfortable in the water and prepare to learn to swim. Parents/Guardians must accompany tots in the water. Registration for this program takes place by lottery drawing. Visit https://nyc.gov/parks/learntoswim for rules and regulations.",Main Pool (in Detective Keith L Williams Park),40.70180531305800000,-73.78410351276400000,Detective Keith L Williams Park,2026-07-27T10:00:00,2026-07-27T11:00:00,new york,Swimming/Aquatics,,,,https://www.nycgovparks.org/events/2026/07/27/session-2-parent-tots-learn-to-swim-liberty-pool-class-a,
Summer on the Hudson: Art in the Park,"Art in the Park invites children ages 3-8 to learn about their local environment through a mix of arts & crafts activities. This hands-on, place-based curriculum builds kids' appreciation for the plants, pollinators, and wildlife found in Riverside Park, and fosters their creativity. Mondays and Thursdays at Camel Playground; Tuesdays and Wednesdays at Hippo Playground. Art in the Park is fully funded by proceeds from the Hippo Playground Spring Fair.",Riverbank (Camel) Playground (in Riverside Park),40.82562048328100000,-73.95355439186100000,Riverside Park,2026-07-27T10:00:00,2026-07-27T12:00:00,new york,Arts & Crafts,"Nature,Art",,,https://www.nycgovparks.org/events/2026/07/27/summer-on-the-hudson-art-in-the-park,
