name,description,location_name,latitude,longitude,address,start_time,end_time,city,primary_category,secondary_categories,thumbnail_image,additional_images,external_link,is_paid
Community Baby Shower TGHP,Join us for a fun baby shower where the community comes together to celebrate new beginnings and sweet infant items.,224 Buffalo Ave,40.6714609,-73.9255735,"224 Buffalo Avenue, Brooklyn, NY 11213",2026-08-01T11:00:00,2026-08-01T16:00:00,brooklyn,Other,"Community & Culture,Party or Social Gathering,baby_event,babyshower2024,community_baby,tghp_shower,tghp_community",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183082100%2F371460467233%2F1%2Foriginal.20260426-214110?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=e83dba032a6599732f118f4428e076ac,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183082100%2F371460467233%2F1%2Foriginal.20260426-214110?auto=format%2Ccompress&q=75&sharp=10&s=39b52a009f69977e89dc63d748b04e91,https://www.eventbrite.com/e/community-baby-shower-tghp-tickets-1988284163456,true
"EJEAN meant love tour w/ hongjoin, acloudyskye","A concert w/ EJEAN in Zone One @ Elsewhere in Bushwick on  8.01! Tickets start at $20 • 7pm • 16+ | Genre: Indie, Singer-Songwriter",Elsewhere - Zone One,40.709411,-73.923169,"599 Johnson Avenue, Brooklyn, NY 11237",2026-08-01T19:00:00,2026-08-01T22:00:00,brooklyn,Pop,"Music,Concert or Performance,Concert,Hiphop,Brooklyn,Nyc,Pop,Livemusic,Bushwick,Bedroom,Elsewhere,Altpop",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182413227%2F2569518370411%2F1%2Foriginal.20260417-152503?crop=focalpoint&fit=crop&w=362&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=00d4edb077d761a9674c8c116aec3125,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182413227%2F2569518370411%2F1%2Foriginal.20260417-152503?auto=format%2Ccompress&q=75&sharp=10&s=0912bfb1050f7bc3ea32e9f1459a8113,https://www.eventbrite.com/e/ejean-meant-love-tour-w-hongjoin-acloudyskye-tickets-1987005228126,true
TEQUILA FEST NYC 2026,Grab your tickets for the biggest event of the Summer!,Brooklyn Navy Yard,40.6984534,-73.9741507,"63 Flushing Ave, Brooklyn, NY 11205",2026-08-01T15:00:00,2026-08-01T22:00:00,brooklyn,Spirits,"Food & Drink,Festival or Fair,tequila_fest_nyc,nyc_tequila2026,tequila_event26,festive_tequila,drink_tequila_nyc",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1189070130%2F66299487319%2F1%2Foriginal.20260717-133530?h=200&w=362&auto=format%2Ccompress&q=75&sharp=10&s=2be7e932602ecce90174643d19ad27a2,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1189070130%2F66299487319%2F1%2Foriginal.20260717-133530?auto=format%2Ccompress&q=75&sharp=10&s=45af78c8a716f3e0a64419aba10aa282,https://www.eventbrite.com/e/tequila-fest-nyc-2026-tickets-1992308520416,true
LIC Wellness Fest 2026 | Free NYC Fitness & Wellness Festival,"NYC’s ultimate community wellness experience featuring fitness, wellness activations, vendors & the Hurricane Fit Race.",27-25 44th Dr,40.7464686,-73.94171709999999,"27-25 44th Drive, Queens, NY 11101",2026-08-01T10:00:00,2026-08-01T16:00:00,queens,Personal health,"Health & Wellness,Festival or Fair,fitnessfestival,wellnessactivities,licwellnessfest,freewellnessnyc,nycfitness2026",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1187137430%2F241487903673%2F1%2Foriginal.20260617-194403?w=362&auto=format%2Ccompress&q=75&sharp=10&s=3eb6fce8f4d0f1e585388d7894a3a6f4,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1187137430%2F241487903673%2F1%2Foriginal.20260617-194403?auto=format%2Ccompress&q=75&sharp=10&s=2161a751cd30d59a5cc59972ee5b73b2,https://www.eventbrite.com/e/lic-wellness-fest-2026-free-nyc-fitness-wellness-festival-tickets-1990140199911,true
Endless Summer: Everyone Free Entry with RSVP at OOO,"Endless Summer hits OOO Saturday August 1st with hip hop, R&B, and everyone free entry with RSVP.",OUT OF ORDINARY,40.7410042,-73.992897,"48 West 21st Street, New York, NY 10010",2026-08-01T23:00:00,2026-08-02T04:00:00,new york,Hip Hop / Rap,"Music,Party or Social Gathering,Free,Hiphop,Event,Nyc,Birthday,Saturday,Rsvp,saturday_night,nyc_events,free_entry",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1189085674%2F165609966285%2F1%2Foriginal.20260717-173320?crop=focalpoint&fit=crop&h=200&w=512&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.488&fp-y=0.273&s=94ce267e1bead126591c657089328177,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1189085674%2F165609966285%2F1%2Foriginal.20260717-173320?auto=format%2Ccompress&q=75&sharp=10&s=25e819c466b53260c26e3409cad2a863,https://www.eventbrite.com/e/endless-summer-everyone-free-entry-with-rsvp-at-ooo-tickets-1994355392666,true
THE HUSTLE - 70s DISCO PARTY,Returning to Drom NYC,DROM,40.7253238,-73.9843144,"85 Avenue A, New York, NY 10009",2026-08-01T23:00:00,2026-08-02T04:00:00,new york,Music,"Party or Social Gathering,Halloween,Free,Dancing,Funk,Djs,Disco,Odyssey",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188414436%2F5617198057%2F1%2Foriginal.20260707-230411?h=200&w=400&auto=format%2Ccompress&q=75&sharp=10&s=2a42593eade66f75609314f10293a6be,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188414436%2F5617198057%2F1%2Foriginal.20260707-230411?auto=format%2Ccompress&q=75&sharp=10&s=5ce27a2b653910249e61c6768b8e4e4d,https://www.eventbrite.com/e/the-hustle-70s-disco-party-tickets-1993497361271,true
10th Annual Kingsland Wildflowers Festival,"Join the partners at Kingsland Wildflowers for a fun summer day with hands-on activities, art, plants, entertainment, and more!",Kingsland Wildflowers Green Roof & Community Engagement Center,40.73453929999999,-73.9432776,"520 Kingsland Avenue, Brooklyn, NY 11222",2026-08-01T14:00:00,2026-08-01T18:00:00,brooklyn,Environment,"Charity & Causes,Festival or Fair,Environment,Festival,Wildflowers,family_friendly,plant_nursery,newtown_creek",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1186694895%2F91021796511%2F1%2Foriginal.20260611-165814?crop=focalpoint&fit=crop&h=200&w=400&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.929&fp-y=0.497&s=d827167552e94e758f359c3f5f1c4749,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1186694895%2F91021796511%2F1%2Foriginal.20260611-165814?auto=format%2Ccompress&q=75&sharp=10&s=b46e25ea729a84fc719d8a69df47e040,https://www.eventbrite.com/e/10th-annual-kingsland-wildflowers-festival-tickets-1991709784581,true
"The Art in the Park Meetup: Vending, Networking & Creative Workshops","Before the summer ends and the city cools down, this is your moment to be outside with people who are open, kind, and building their life.",Maria Hernandez Park,40.7043156,-73.92128579999999,"Btwn Starr & Suddyam St, Brooklyn, NY 11237",2026-08-01T15:00:00,2026-08-01T19:00:00,brooklyn,Literary Arts,"Performing & Visual Arts,Party or Social Gathering,Free,Community,Art,Creative,Fun,Brooklyn,Openmic,Localartists,artmeetup,creativevibes",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183332112%2F1095348046363%2F1%2Foriginal.20260429-140538?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.44&fp-y=0.438&s=1a2efe69498fb291533c2a0bfad68002,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183332112%2F1095348046363%2F1%2Foriginal.20260429-140538?auto=format%2Ccompress&q=75&sharp=10&s=f7cac7cf8fde9202c39f6b77e5fc6947,https://www.eventbrite.com/e/the-art-in-the-park-meetup-vending-networking-creative-workshops-tickets-1986006618257,true
Pursuit of Happiness [2010s Matinee],"A Millennial Matinee of 2010’s club bangers – recession pop, EDM, & hip-hop – in NYC.",The Club by Mr. Purple,40.7219297,-73.9881633,"180 Orchard Street #14th floor, New York, NY 10002",2026-08-01T18:00:00,2026-08-01T22:00:00,new york,Top 40,"Music,Party or Social Gathering,Nyc,90s,Matinee,Millennial,00s,90s_music,00s_music",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1187277081%2F2085102959893%2F1%2Foriginal.20260619-155631?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=2d821ae1719b264b8805d5839cc62d91,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1187277081%2F2085102959893%2F1%2Foriginal.20260619-155631?auto=format%2Ccompress&q=75&sharp=10&s=151882f16b09eef90e6e85b75b6cd22c,https://www.eventbrite.com/e/pursuit-of-happiness-2010s-matinee-tickets-1992216998672,true
SWEET DREAMS: A NEW WAVE PARTY FOR EARLY RISERS,THE MIRROR BAR AT ARLO WILLIAMSBURG. 6PM DOORS.,Arlo Williamsburg,40.72150449999999,-73.9587016,"96 Wythe Avenue, Brooklyn, NY 11249",2026-08-01T18:00:00,2026-08-01T22:00:00,brooklyn,EDM / Electronic,"Music,Party or Social Gathering,newwavevibes,morninggroove,sweetdreamsparty,earlyrisersfun,daybreakdance",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182700945%2F5617198057%2F1%2Foriginal.20260421-175931?crop=focalpoint&fit=crop&w=362&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=82f97dae14ba2508baadcd0c0499c28c,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182700945%2F5617198057%2F1%2Foriginal.20260421-175931?auto=format%2Ccompress&q=75&sharp=10&s=ed753e650bdd79f9a3563b779359a5cb,https://www.eventbrite.com/e/sweet-dreams-a-new-wave-party-for-early-risers-tickets-1987949594752,true
