name,description,location_name,latitude,longitude,address,start_time,end_time,city,primary_category,secondary_categories,thumbnail_image,additional_images,external_link,is_paid
Hamilton (NY),,Richard Rodgers Theatre,40.75920382,-73.98676323,226 West 46th Street,2026-08-01T17:00:00Z,,new york,Arts & Theatre,"Theatre,Musical",https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_ARTIST_PAGE_3_2.jpg,"https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_CUSTOM.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_SOURCE,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_RETINA_LANDSCAPE_16_9.jpg",https://www.ticketmaster.com/hamilton-ny-new-york-new-york-08-01-2026/event/Z1r9uZrrZbpZ1AvjMQp,true
Hamilton,,Richard Rodgers Theatre-NY,40.759300000,-73.990196000,226 W. 46th St.,2026-08-01T23:00:00Z,,new york,Arts & Theatre,"Theatre,Musical",https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_ARTIST_PAGE_3_2.jpg,"https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_CUSTOM.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_SOURCE,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_RETINA_LANDSCAPE_16_9.jpg",https://www.ticketmaster.com/event/Z7r9jZ1A7qy3v,true
2026 NY Jets Training Camp,2026 New York Jets Training Camp Gates Open: 8:00 AM https://www.newyorkjets.com/fans/training-camp,Atlantic Health Jets Training Center,40.77740700,-74.41894400,"1 Jets Dr, Florham Park",2026-08-01T12:30:00Z,,florham park,Sports,"Football,NFL",https://s1.ticketm.net/dam/e/e93/f140e3c9-5c99-4364-8e08-8c3a427d0e93_RETINA_PORTRAIT_3_2.jpg,"https://s1.ticketm.net/dam/e/e93/f140e3c9-5c99-4364-8e08-8c3a427d0e93_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/e/e93/f140e3c9-5c99-4364-8e08-8c3a427d0e93_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/e/e93/f140e3c9-5c99-4364-8e08-8c3a427d0e93_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/e/e93/f140e3c9-5c99-4364-8e08-8c3a427d0e93_CUSTOM.jpg,https://s1.ticketm.net/dam/e/e93/f140e3c9-5c99-4364-8e08-8c3a427d0e93_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/e/e93/f140e3c9-5c99-4364-8e08-8c3a427d0e93_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/e/e93/f140e3c9-5c99-4364-8e08-8c3a427d0e93_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/e/e93/f140e3c9-5c99-4364-8e08-8c3a427d0e93_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/e/e93/f140e3c9-5c99-4364-8e08-8c3a427d0e93_TABLET_LANDSCAPE_16_9.jpg",https://www.ticketmaster.com/2026-ny-jets-training-camp-florham-park-new-jersey-08-01-2026/event/000064E6C8A7D8CE,true
BTS WORLD TOUR 'ARIRANG' IN EAST RUTHERFORD,,MetLife Stadium,40.81359,-74.074493,One MetLife Stadium Drive,2026-08-02T00:00:00Z,,east rutherford,Music,"Pop,K-Pop",https://s1.ticketm.net/dam/a/cac/79200b54-8f97-4909-a952-46af7db06cac_RETINA_PORTRAIT_3_2.jpg,"https://s1.ticketm.net/dam/a/cac/79200b54-8f97-4909-a952-46af7db06cac_SOURCE,https://s1.ticketm.net/dam/a/cac/79200b54-8f97-4909-a952-46af7db06cac_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/cac/79200b54-8f97-4909-a952-46af7db06cac_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/cac/79200b54-8f97-4909-a952-46af7db06cac_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/a/cac/79200b54-8f97-4909-a952-46af7db06cac_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/cac/79200b54-8f97-4909-a952-46af7db06cac_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/cac/79200b54-8f97-4909-a952-46af7db06cac_CUSTOM.jpg,https://s1.ticketm.net/dam/a/cac/79200b54-8f97-4909-a952-46af7db06cac_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/cac/79200b54-8f97-4909-a952-46af7db06cac_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/cac/79200b54-8f97-4909-a952-46af7db06cac_TABLET_LANDSCAPE_LARGE_16_9.jpg",https://www.ticketmaster.com/bts-world-tour-arirang-in-east-east-rutherford-new-jersey-08-01-2026/event/00006429EB39BB6F,true
Harry Potter and the Cursed Child,,Lyric Theatre - NY,40.759300000,-73.990196000,213 W 42nd St,2026-08-01T18:00:00Z,,new york,Arts & Theatre,Performance Art,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_TABLET_LANDSCAPE_LARGE_16_9.jpg,"https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_SOURCE,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_CUSTOM.jpg",https://www.ticketmaster.com/event/Z7r9jZ1A7rK70,true
CATS: The Jellicle Ball,"(1) Children under 4 years old will not be admitted. (2) No weapons permitted on the premises. No outside food or beverages, electric scooters, e-bikes, or battery-powered transportation devices, except when medically necessary. All items are subject to inspection. Anything brought into the theatre must fit on your lap or completely under your seat without blocking any aisles. Avoid bringing packages, luggage, and backpacks. Some items must be checked. (3) Strobe or flashing lights are used in this production. (4) This production uses a gunshot sound effect. (5) This production uses theatrical haze and smoke. (6) Tickets are on a delayed delivery.",Broadhurst Theatre ,40.75809299,-73.98760791,235 West 44th Street,2026-08-02T00:00:00Z,,new york,Arts & Theatre,"Theatre,Musical",https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_EVENT_DETAIL_PAGE_16_9.jpg,"https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_SOURCE,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_CUSTOM.jpg,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_ARTIST_PAGE_3_2.jpg",https://www.ticketmaster.com/cats-the-jellicle-ball-new-york-new-york-08-01-2026/event/Z1r9uZruZqGZ17JeuJ,true
New York Red Bulls vs. Orlando City SC,,Sports Illustrated Stadium,40.744202000,-74.151703000,600 Cape May Street,2026-08-01T23:30:00Z,,harrison,Sports,"Soccer,MLS",https://s1.ticketm.net/dam/a/6fb/8b5ebd39-5b41-4bfb-a89f-66a195c136fb_1334071_ARTIST_PAGE_3_2.jpg,"https://s1.ticketm.net/dam/a/6fb/8b5ebd39-5b41-4bfb-a89f-66a195c136fb_1334071_CUSTOM.jpg,https://s1.ticketm.net/dam/a/6fb/8b5ebd39-5b41-4bfb-a89f-66a195c136fb_1334071_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/6fb/8b5ebd39-5b41-4bfb-a89f-66a195c136fb_1334071_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/6fb/8b5ebd39-5b41-4bfb-a89f-66a195c136fb_1334071_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/6fb/8b5ebd39-5b41-4bfb-a89f-66a195c136fb_1334071_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/6fb/8b5ebd39-5b41-4bfb-a89f-66a195c136fb_1334071_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/6fb/8b5ebd39-5b41-4bfb-a89f-66a195c136fb_SOURCE,https://s1.ticketm.net/dam/a/6fb/8b5ebd39-5b41-4bfb-a89f-66a195c136fb_1334071_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/6fb/8b5ebd39-5b41-4bfb-a89f-66a195c136fb_1334071_RETINA_PORTRAIT_3_2.jpg",https://www.ticketmaster.com/event/Z7r9jZ1A7roAb,true
RUSH: Fifty Something,"PLEASE NOTE: Pricing is all-in and includes fees (before taxes if applicable). By purchasing tickets to this event, you agree to abide by the health and safety measures in effect at the time of the event. Government mandates, venue protocols, and event requirements are subject to change. For more information, please search your event on msg.com. This event may have immersive elements, which may include flashing or strobe lights, intense lighting, visual effects, loud noises, smoke and/or fog. Such elements may aggravate certain medical or physical conditions, and guests should take this into consideration if they have a history of discomfort or physical symptoms when experiencing these elements.",Madison Square Garden,40.74970620,-73.99160060,7th Ave & 32nd Street,2026-08-01T23:30:00Z,,new york,Music,"Rock,Pop",https://s1.ticketm.net/dam/a/6bd/c02199ad-8d22-4668-8973-f400d85826bd_TABLET_LANDSCAPE_16_9.jpg,"https://s1.ticketm.net/dam/a/6bd/c02199ad-8d22-4668-8973-f400d85826bd_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/6bd/c02199ad-8d22-4668-8973-f400d85826bd_CUSTOM.jpg,https://s1.ticketm.net/dam/a/6bd/c02199ad-8d22-4668-8973-f400d85826bd_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/6bd/c02199ad-8d22-4668-8973-f400d85826bd_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/6bd/c02199ad-8d22-4668-8973-f400d85826bd_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/6bd/c02199ad-8d22-4668-8973-f400d85826bd_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/6bd/c02199ad-8d22-4668-8973-f400d85826bd_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/6bd/c02199ad-8d22-4668-8973-f400d85826bd_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/6bd/c02199ad-8d22-4668-8973-f400d85826bd_SOURCE,https://s1.ticketm.net/dam/a/6bd/c02199ad-8d22-4668-8973-f400d85826bd_ARTIST_PAGE_3_2.jpg",https://www.ticketmaster.com/rush-fifty-something-new-york-new-york-08-01-2026/event/3B00634413F131FB,true
J. Cole: The Fall-Off Tour,"Tickets are not available at the box office on the first day of the public on sale. Visit Barclays Center's A-Z Center Info Guide for venue information and frequently asked questions. SHOW: 8:00 PM ALL AGES EVENT BAG POLICY: Any bags larger than 10"" x 6"" x 2"" are not permitted inside Barclays Center.",Barclays Center,40.68285000,-73.97519000,620 Atlantic Ave,2026-08-02T00:00:00Z,,brooklyn,Music,"Hip-Hop/Rap,Trap",https://s1.ticketm.net/dam/a/4f4/44bb1cf4-fdde-49a8-813a-440dc24234f4_RECOMENDATION_16_9.jpg,"https://s1.ticketm.net/dam/a/4f4/44bb1cf4-fdde-49a8-813a-440dc24234f4_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/4f4/44bb1cf4-fdde-49a8-813a-440dc24234f4_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/4f4/44bb1cf4-fdde-49a8-813a-440dc24234f4_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/00a/087c7d8e-2940-4e0a-9600-f85e2193000a_SOURCE,https://s1.ticketm.net/dam/a/4f4/44bb1cf4-fdde-49a8-813a-440dc24234f4_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/4f4/44bb1cf4-fdde-49a8-813a-440dc24234f4_CUSTOM.jpg,https://s1.ticketm.net/dam/a/4f4/44bb1cf4-fdde-49a8-813a-440dc24234f4_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/4f4/44bb1cf4-fdde-49a8-813a-440dc24234f4_SOURCE,https://s1.ticketm.net/dam/a/4f4/44bb1cf4-fdde-49a8-813a-440dc24234f4_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/4f4/44bb1cf4-fdde-49a8-813a-440dc24234f4_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/4f4/44bb1cf4-fdde-49a8-813a-440dc24234f4_ARTIST_PAGE_3_2.jpg",https://www.ticketmaster.com/j-cole-the-falloff-tour-brooklyn-new-york-08-01-2026/event/30006450865926C3,true
Les Misérables: The Arena Concert Spectacular,"PLEASE NOTE: Pricing is all-in and includes fees (before taxes if applicable). In this performance, the role of Jean Valjean will be played by Killian Donnelly and the role of Javert will be played by Bradley Jaden. View full cast & performance schedule at nyc.lesmis.com. Cast is subject to change without notice. By purchasing tickets to this event, you agree to abide by the health and safety measures in effect at the time of the event. Government mandates, venue protocols, and event requirements are subject to change. For more information, please search your event on www.radiocity.com. This event may have immersive elements, which may include flashing or strobe lights, intense lighting, visual effects, loud noises, smoke and/or fog. Such elements may aggravate certain medical or physical conditions, and guests should take this into consideration if they have a history of discomfort or physical symptoms when experiencing these elements.",Radio City Music Hall,40.75991360,-73.98039810,1260 6th Avenue,2026-08-01T18:00:00Z,,new york,Arts & Theatre,"Theatre,Musical",https://s1.ticketm.net/dam/a/fe6/3bf601c0-4616-41a0-a61c-8dcb36b1dfe6_ARTIST_PAGE_3_2.jpg,"https://s1.ticketm.net/dam/a/fe6/3bf601c0-4616-41a0-a61c-8dcb36b1dfe6_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/fe6/3bf601c0-4616-41a0-a61c-8dcb36b1dfe6_CUSTOM.jpg,https://s1.ticketm.net/dam/a/fe6/3bf601c0-4616-41a0-a61c-8dcb36b1dfe6_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/fe6/3bf601c0-4616-41a0-a61c-8dcb36b1dfe6_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/fe6/3bf601c0-4616-41a0-a61c-8dcb36b1dfe6_SOURCE,https://s1.ticketm.net/dam/a/fe6/3bf601c0-4616-41a0-a61c-8dcb36b1dfe6_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/fe6/3bf601c0-4616-41a0-a61c-8dcb36b1dfe6_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/fe6/3bf601c0-4616-41a0-a61c-8dcb36b1dfe6_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/fe6/3bf601c0-4616-41a0-a61c-8dcb36b1dfe6_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/fe6/3bf601c0-4616-41a0-a61c-8dcb36b1dfe6_TABLET_LANDSCAPE_16_9.jpg",https://www.ticketmaster.com/les-miserables-the-arena-concert-spectacular-new-york-new-york-08-01-2026/event/3C006347A80A1126,true
